Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,163.919998,166.600006,163.570007,165.070007,163.204956,69023900
2022-04-19,165.020004,167.820007,163.910004,167.399994,165.508621,67723800
2022-04-20,168.759995,168.880005,166.100006,167.229996,165.340530,67929800
2022-04-21,168.910004,171.529999,165.910004,166.419998,164.539673,87227800
2022-04-22,166.460007,167.869995,161.500000,161.789993,159.961990,84882400
2022-04-25,161.119995,163.169998,158.460007,162.880005,161.039688,96046400
2022-04-26,162.250000,162.339996,156.720001,156.800003,155.028381,95623200
2022-04-27,155.910004,159.789993,155.380005,156.570007,154.800980,88063200
2022-04-28,159.250000,164.520004,158.929993,163.639999,161.791107,130216800
2022-04-29,161.839996,166.199997,157.250000,157.649994,155.868759,131747600
2022-05-02,156.710007,158.229996,153.270004,157.960007,156.175278,123055300
2022-05-03,158.149994,160.710007,156.320007,159.479996,157.678116,88966500
2022-05-04,159.669998,166.479996,159.259995,166.020004,164.144241,108256500
2022-05-05,163.850006,164.080002,154.949997,156.770004,154.998718,130525300
2022-05-06,156.009995,159.440002,154.179993,157.279999,155.731415,116124600
2022-05-09,154.929993,155.830002,151.490005,152.059998,150.562820,131577900
2022-05-10,155.520004,156.740005,152.929993,154.509995,152.988693,115366700
2022-05-11,153.500000,155.449997,145.809998,146.500000,145.057587,142689800
2022-05-12,142.770004,146.199997,138.800003,142.559998,141.156357,182602000
2022-05-13,144.589996,148.100006,143.110001,147.110001,145.661560,113990900
2022-05-16,145.550003,147.520004,144.179993,145.539993,144.107025,86643800
2022-05-17,148.860001,149.770004,146.679993,149.240005,147.770599,78336300
2022-05-18,146.850006,147.360001,139.899994,140.820007,139.433502,109742900
2022-05-19,139.880005,141.660004,136.600006,137.350006,135.997650,136095600
2022-05-20,139.089996,140.699997,132.610001,137.589996,136.235275,137426100
2022-05-23,137.789993,143.259995,137.649994,143.110001,141.700943,117726300
2022-05-24,140.809998,141.970001,137.330002,140.360001,138.978027,104132700
2022-05-25,138.429993,141.789993,138.339996,140.520004,139.136459,92482700
2022-05-26,137.389999,144.339996,137.139999,143.779999,142.364349,90601500
2022-05-27,145.389999,149.679993,145.259995,149.639999,148.166672,90978500
2022-05-31,149.070007,150.660004,146.839996,148.839996,147.374512,103718400
2022-06-01,149.899994,151.740005,147.679993,148.710007,147.245819,74286600
2022-06-02,147.830002,151.270004,146.860001,151.210007,149.721222,72348100
2022-06-03,146.899994,147.970001,144.460007,145.380005,143.948593,88570300
2022-06-06,147.029999,148.570007,144.899994,146.139999,144.701111,71598400
2022-06-07,144.350006,149.000000,144.100006,148.710007,147.245819,67808200
2022-06-08,148.580002,149.869995,147.460007,147.960007,146.503189,53950200
2022-06-09,147.080002,147.949997,142.529999,142.639999,141.235565,69473000
2022-06-10,140.279999,140.759995,137.059998,137.130005,135.779831,91437900
2022-06-13,132.869995,135.199997,131.440002,131.880005,130.581512,122207100
2022-06-14,133.130005,133.889999,131.479996,132.759995,131.452850,84784300
2022-06-15,134.289993,137.339996,132.160004,135.429993,134.096558,91533000
2022-06-16,132.080002,132.389999,129.039993,130.059998,128.779434,108123900
2022-06-17,130.070007,133.080002,129.809998,131.559998,130.264679,134520300
2022-06-21,133.419998,137.059998,133.320007,135.869995,134.532211,81000500
2022-06-22,134.789993,137.759995,133.910004,135.350006,134.017365,73409200
2022-06-23,136.820007,138.589996,135.630005,138.270004,136.908600,72433800
2022-06-24,139.899994,141.910004,139.770004,141.660004,140.265228,89116800
2022-06-27,142.699997,143.490005,140.970001,141.660004,140.265228,70207900
2022-06-28,142.130005,143.419998,137.320007,137.440002,136.086761,67083400
2022-06-29,137.460007,140.669998,136.669998,139.229996,137.859146,66242400
2022-06-30,137.250000,138.369995,133.770004,136.720001,135.373856,98964500
2022-07-01,136.039993,139.039993,135.660004,138.929993,137.562088,71051600
2022-07-05,137.770004,141.610001,136.929993,141.559998,140.166214,73353800
2022-07-06,141.350006,144.119995,141.080002,142.919998,141.512802,74064300
2022-07-07,143.289993,146.550003,143.279999,146.350006,144.909042,66253700
2022-07-08,145.259995,147.550003,145.000000,147.039993,145.592255,64547800
2022-07-11,145.669998,146.639999,143.779999,144.869995,143.443588,63141600
2022-07-12,145.759995,148.449997,145.050003,145.860001,144.423874,77588800
2022-07-13,142.990005,146.449997,142.119995,145.490005,144.057510,71185600
2022-07-14,144.080002,148.949997,143.250000,148.470001,147.008163,78140700
2022-07-15,149.779999,150.860001,148.199997,150.169998,148.691406,76259900
2022-07-18,150.740005,151.570007,146.699997,147.070007,145.621964,81420900
2022-07-19,147.919998,151.229996,146.910004,151.000000,149.513275,82982400
2022-07-20,151.119995,153.720001,150.369995,153.039993,151.533173,64823400
2022-07-21,154.500000,155.570007,151.940002,155.350006,153.820435,65086600
